t_ms;MV_hz;PV_kgs_cm2
129930;42;5.04
129940;42;5.04
129950;42;5.04
129960;42;5.04
129970;42;5.04
129980;42;5.04
129990;42;5.04
130000;42;5.04
130010;42;5.04
130020;42;5.04
130030;42;5.04
130040;42;5.04
130050;42;5.04
130060;42;5.04
130070;42;5.04
130080;42;5.04
130090;42;5.04
130100;42;5.04
130110;42;5.04
130120;42;5.03
130130;42;5.03
130140;42;5.03
130150;42;5.03
130160;42;5.03
130170;42;5.03
130180;42;5.03
130190;42;5.03
130200;42;5.03
130210;42;5.03
130220;42;5.03
130230;42;5.04
130240;42;5.04
130250;42;5.04
130260;42;5.04
130270;42;5.04
130280;42;5.04
130290;42;5.04
130300;42;5.04
130310;42;5.04
130320;42;5.05
130330;42;5.05
130340;42;5.05
130350;42;5.05
130360;42;5.05
130370;42;5.05
130380;42;5.05
130390;42;5.05
130400;42;5.05
130410;42;5.05
130420;42;5.05
130430;42;5.05
130440;42;5.05
130450;42;5.05
130460;42;5.05
130470;42;5.05
130480;42;5.05
130490;42;5.05
130500;42;5.05
130510;42;5.05
130520;42;5.06
130530;42;5.06
130540;42;5.06
130550;42;5.06
130560;42;5.06
130570;42;5.06
130580;42;5.06
130590;42;5.06
130600;42;5.06
130610;42;5.06
130620;42;5.06
130630;42;5.06
130640;42;5.06
130650;42;5.06
130660;42;5.06
130670;42;5.06
130680;42;5.06
130690;42;5.06
130700;42;5.06
130710;42;5.06
130720;42;5.05
130730;42;5.05
130740;42;5.05
130750;42;5.05
130760;42;5.05
130770;42;5.05
130780;42;5.05
130790;42;5.05
130800;42;5.05
130810;42;5.05
130820;42;5.06
130830;42;5.06
130840;42;5.06
130850;42;5.06
130860;42;5.06
130870;42;5.06
130880;42;5.06
130890;42;5.06
130900;42;5.06
130910;42;5.06
130920;42;5.06
130930;42;5.06
130940;42;5.06
130950;42;5.06
130960;42;5.06
130970;42;5.06
130980;42;5.06
130990;42;5.06
131000;42;5.06
131010;42;5.06
131020;42;5.06
131030;42;5.06
131040;42;5.06
131050;42;5.06
131060;42;5.06
131070;42;5.06
131080;42;5.06
131090;42;5.06
131100;42;5.06
131110;42;5.06
131120;42;5.06
131130;42;5.06
131140;42;5.06
131150;42;5.06
131160;42;5.06
131170;42;5.06
131180;42;5.06
131190;42;5.06
131200;42;5.06
131210;42;5.06
131220;42;5.07
131230;42;5.07
131240;42;5.07
131250;42;5.07
131260;42;5.07
131270;42;5.07
131280;42;5.07
131290;42;5.07
131300;42;5.07
131310;42;5.07
131320;42;5.07
131330;42;5.07
131340;42;5.07
131350;42;5.07
131360;42;5.07
131370;42;5.07
131380;42;5.07
131390;42;5.07
131400;42;5.07
131410;42;5.07
131420;42;5.05
131430;42;5.05
131440;42;5.05
131450;42;5.05
131460;42;5.05
131470;42;5.05
131480;42;5.05
131490;42;5.05
131500;42;5.05
131510;42;5.05
131520;42;5.04
131530;42;5.04
131540;42;5.04
131550;42;5.04
131560;42;5.04
131570;42;5.04
131580;42;5.04
131590;42;5.04
131600;42;5.04
131610;42;5.04
131620;42;5.04
131630;42;5.04
131640;42;5.04
131650;42;5.04
131660;42;5.04
131670;42;5.04
131680;42;5.04
131690;42;5.04
131700;42;5.04
131710;42;5.04
131720;42;5.04
131730;42;5.04
131740;42;5.04
131750;42;5.04
131760;42;5.04
131770;42;5.04
131780;42;5.04
131790;42;5.04
131800;42;5.04
131810;42;5.04
131820;42;5.03
131830;42;5.03
131840;42;5.03
131850;42;5.03
131860;42;5.03
131870;42;5.03
131880;42;5.03
131890;42;5.03
131900;42;5.03
131910;42;5.03
131920;42;5.04
131930;42;5.04
131940;42;5.04
131950;42;5.04
131960;42;5.04
131970;42;5.04
131980;42;5.04
131990;42;5.04
132000;42;5.04
132010;42;5.04
132020;42;5.04
132030;42;5.03
132040;42;5.03
132050;42;5.03
132060;42;5.03
132070;42;5.03
132080;42;5.03
132090;42;5.03
132100;42;5.03
132110;42;5.03
132120;42;5.03
132130;42;5.03
132140;42;5.03
132150;42;5.03
132160;42;5.03
132170;42;5.03
132180;42;5.03
132190;42;5.03
132200;42;5.03
132210;42;5.03
132220;42;5.03
132230;42;5.03
132240;42;5.03
132250;42;5.03
132260;42;5.03
132270;42;5.03
132280;42;5.03
132290;42;5.03
132300;42;5.03
132310;42;5.03
132320;42;5.03
132330;42;5.04
132340;42;5.04
132350;42;5.04
132360;42;5.04
132370;42;5.04
132380;42;5.04
132390;42;5.04
132400;42;5.04
132410;42;5.04
132420;42;5.04
132430;42;5.04
132440;42;5.04
132450;42;5.04
132460;42;5.04
132470;42;5.04
132480;42;5.04
132490;42;5.04
132500;42;5.04
132510;42;5.04
132520;42;5.03
132530;42;5.03
132540;42;5.03
132550;42;5.03
132560;42;5.03
132570;42;5.03
132580;42;5.03
132590;42;5.03
132600;42;5.03
132610;42;5.03
132620;42;5.03
132630;42;5.04
132640;42;5.04
132650;42;5.04
132660;42;5.04
132670;42;5.04
132680;42;5.04
132690;42;5.04
132700;42;5.04
132710;42;5.04
132720;42;5.04
132730;42;5.04
132740;42;5.04
132750;42;5.04
132760;42;5.04
132770;42;5.04
132780;42;5.04
132790;42;5.04
132800;42;5.04
132810;42;5.04
132820;42;5.04
132830;42;5.04
132840;42;5.04
132850;42;5.04
132860;42;5.04
132870;42;5.04
132880;42;5.04
132890;42;5.04
132900;42;5.04
132910;42;5.04
132920;42;5.04
132930;42;5.05
132940;42;5.05
132950;42;5.05
132960;42;5.05
132970;42;5.05
132980;42;5.05
132990;42;5.05
133000;42;5.05
133010;42;5.05
133020;42;5.04
133030;42;5.04
133040;42;5.04
133050;42;5.04
133060;42;5.04
133070;42;5.04
133080;42;5.04
133090;42;5.04
133100;42;5.04
133110;42;5.04
133120;42;5.04
133130;42;5.04
133140;42;5.04
133150;42;5.04
133160;42;5.04
133170;42;5.04
133180;42;5.04
133190;42;5.04
133200;42;5.04
133210;42;5.04
133220;42;5.04
133230;42;5.05
133240;42;5.05
133250;42;5.05
133260;42;5.05
133270;42;5.05
133280;42;5.05
133290;42;5.05
133300;42;5.05
133310;42;5.05
133320;42;5.06
133330;42;5.06
133340;42;5.06
133350;42;5.06
133360;42;5.06
133370;42;5.06
133380;42;5.06
133390;42;5.06
133400;42;5.06
133410;42;5.06
133420;42;5.05
133430;42;5.05
133440;42;5.05
133450;42;5.05
133460;42;5.05
133470;42;5.05
133480;42;5.05
133490;42;5.05
133500;42;5.05
133510;42;5.05
133520;42;5.04
133530;42;5.04
133540;42;5.04
133550;42;5.04
133560;42;5.04
133570;42;5.04
133580;42;5.04
133590;42;5.04
133600;42;5.04
133610;42;5.04
133620;42;5.05
133630;42;5.05
133640;42;5.05
133650;42;5.05
133660;42;5.05
133670;42;5.05
133680;42;5.05
133690;42;5.05
133700;42;5.05
133710;42;5.05
133720;42;5.03
133730;42;5.03
133740;42;5.03
133750;42;5.03
133760;42;5.03
133770;42;5.03
133780;42;5.03
133790;42;5.03
133800;42;5.03
133810;42;5.03
133820;42;5.02
133830;42;5.02
133840;42;5.02
133850;42;5.02
133860;42;5.02
133870;42;5.02
133880;42;5.02
133890;42;5.02
133900;42;5.02
133910;42;5.02
133920;42;5.01
133930;42;5.01
133940;42;5.01
133950;42;5.01
133960;42;5.01
133970;42;5.01
133980;42;5.01
133990;42;5.01
134000;42;5.01
134010;42;5.01
134020;42;5.02
134030;42;5.02
134040;42;5.02
134050;42;5.02
134060;42;5.02
134070;42;5.02
134080;42;5.02
134090;42;5.02
134100;42;5.02
134110;42;5.02
134120;42;5.01
134130;42;5.01
134140;42;5.01
134150;42;5.01
134160;42;5.01
134170;42;5.01
134180;42;5.01
134190;42;5.01
134200;42;5.01
134210;42;5.01
134220;42;5
134230;42;5
134240;42;5
134250;42;5
134260;42;5
134270;42;5
134280;42;5
134290;42;5
134300;42;5
134310;42;5
134320;42;5
134330;42;5
134340;42;5
134350;42;5
134360;42;5
134370;42;5
134380;42;5
134390;42;5
134400;42;5
134410;42;5
134420;42;5
134430;42;5
134440;42;5
134450;42;5
134460;42;5
134470;42;5
134480;42;5
134490;42;5
134500;42;5
134510;42;5
134520;42;4.99
134530;42;4.99
134540;42;4.99
134550;42;4.99
134560;42;4.99
134570;42;4.99
134580;42;4.99
134590;42;4.99
134600;42;4.99
134610;42;4.99
134620;42;4.98
134630;42;4.98
134640;42;4.98
134650;42;4.98
134660;42;4.98
134670;42;4.98
134680;42;4.98
134690;42;4.98
134700;42;4.98
134710;42;4.98
134720;42;4.99
134730;42;4.99
134740;42;4.99
134750;42;4.99
134760;42;4.99
134770;42;4.99
134780;42;4.99
134790;42;4.99
134800;42;4.99
134810;42;4.99
134820;42;4.99
134830;42;5
134840;42;5
134850;42;5
134860;42;5
134870;42;5
134880;42;5
134890;42;5
134900;42;5
134910;42;5
134920;42;5
134930;42;5
134940;42;5
134950;42;5
134960;42;5
134970;42;5
134980;42;5
134990;42;5
135000;42;5
135010;42;5
135020;42;4.99
135030;42;4.99
135040;42;4.99
135050;42;4.99
135060;42;4.99
135070;42;4.99
135080;42;4.99
135090;42;4.99
135100;42;4.99
135110;42;4.99
135120;42;5.01
135130;42;5.01
135140;42;5.01
135150;42;5.01
135160;42;5.01
135170;42;5.01
135180;42;5.01
135190;42;5.01
135200;42;5.01
135210;42;5.01
135220;42;5.01
135230;42;5.01
135240;42;5.01
135250;42;5.01
135260;42;5.01
135270;42;5.01
135280;42;5.01
135290;42;5.01
135300;42;5.01
135310;42;5.01
135320;42;5.02
135330;42;5.02
135340;42;5.02
135350;42;5.02
135360;42;5.02
135370;42;5.02
135380;42;5.02
135390;42;5.02
135400;42;5.02
135410;42;5.02
135420;42;5.02
135430;42;5.02
135440;42;5.02
135450;42;5.02
135460;42;5.02
135470;42;5.02
135480;42;5.02
135490;42;5.02
135500;42;5.02
135510;42;5.02
135520;42;5.02
135530;42;5.02
135540;42;5.02
135550;42;5.02
135560;42;5.02
135570;42;5.02
135580;42;5.02
135590;42;5.02
135600;42;5.02
135610;42;5.02
135620;42;5.03
135630;42;5.03
135640;42;5.03
135650;42;5.03
135660;42;5.03
135670;42;5.03
135680;42;5.03
135690;42;5.03
135700;42;5.03
135710;42;5.03
135720;42;5.03
135730;42;5.03
135740;42;5.03
135750;42;5.03
135760;42;5.03
135770;42;5.03
135780;42;5.03
135790;42;5.03
135800;42;5.03
135810;42;5.03
135820;42;5.03
135830;42;5.03
135840;42;5.03
135850;42;5.03
135860;42;5.03
135870;42;5.03
135880;42;5.03
135890;42;5.03
135900;42;5.03
135910;42;5.03
135920;42;5.03
135930;42;5.01
135940;42;5.01
135950;42;5.01
135960;42;5.01
135970;42;5.01
135980;42;5.01
135990;42;5.01
136000;42;5.01
136010;42;5.01
136020;42;5.02
136030;42;5.02
136040;42;5.02
136050;42;5.02
136060;42;5.02
136070;42;5.02
136080;42;5.02
136090;42;5.02
136100;42;5.02
136110;42;5.02
136120;42;5.02
136130;42;5.03
136140;42;5.03
136150;42;5.03
136160;42;5.03
136170;42;5.03
136180;42;5.03
136190;42;5.03
136200;42;5.03
136210;42;5.03
136220;42;5.03
136230;42;5.03
136240;42;5.03
136250;42;5.03
136260;42;5.03
136270;42;5.03
136280;42;5.03
136290;42;5.03
136300;42;5.03
136310;42;5.03
136320;42;5.01
136330;42;5.01
136340;42;5.01
136350;42;5.01
136360;42;5.01
136370;42;5.01
136380;42;5.01
136390;42;5.01
136400;42;5.01
136410;42;5.01
136420;42;5
136430;42;5
136440;42;5
136450;42;5
136460;42;5
136470;42;5
136480;42;5
136490;42;5
136500;42;5
136510;42;5
136520;42;5
136530;42;5
136540;42;5
136550;42;5
136560;42;5
136570;42;5
136580;42;5
136590;42;5
136600;42;5
136610;42;5
136620;42;4.99
136630;42;4.99
136640;42;4.99
136650;42;4.99
136660;42;4.99
136670;42;4.99
136680;42;4.99
136690;42;4.99
136700;42;4.99
136710;42;4.99
136720;42;4.99
136730;42;4.99
136740;42;4.99
136750;42;4.99
136760;42;4.99
136770;42;4.99
136780;42;4.99
136790;42;4.99
136800;42;4.99
136810;42;4.99
136820;42;4.99
136830;42;4.99
136840;42;4.99
136850;42;4.99
136860;42;4.99
136870;42;4.99
136880;42;4.99
136890;42;4.99
136900;42;4.99
136910;42;4.99
136920;42;4.98
136930;42;4.98
136940;42;4.98
136950;42;4.98
136960;42;4.98
136970;42;4.98
136980;42;4.98
136990;42;4.98
137000;42;4.98
137010;42;4.98
137020;42;4.97
137030;42;4.97
137040;42;4.97
137050;42;4.97
137060;42;4.97
137070;42;4.97
137080;42;4.97
137090;42;4.97
137100;42;4.97
137110;42;4.97
137120;42;4.98
137130;42;4.98
137140;42;4.98
137150;42;4.98
137160;42;4.98
137170;42;4.98
137180;42;4.98
137190;42;4.98
137200;42;4.98
137210;42;4.98
137220;42;5
137230;42;5
137240;42;5
137250;42;5
137260;42;5
137270;42;5
137280;42;5
137290;42;5
137300;42;5
137310;42;5
137320;42;4.99
137330;42;4.99
137340;42;4.99
137350;42;4.99
137360;42;4.99
137370;42;4.99
137380;42;4.99
137390;42;4.99
137400;42;4.99
137410;42;4.99
137420;42;4.99
137430;42;4.97
137440;42;4.97
137450;42;4.97
137460;42;4.97
137470;42;4.97
137480;42;4.97
137490;42;4.97
137500;42;4.97
137510;42;4.97
137520;42;4.98
137530;42;4.98
137540;42;4.98
137550;42;4.98
137560;42;4.98
137570;42;4.98
137580;42;4.98
137590;42;4.98
137600;42;4.98
137610;42;4.98
137620;42;4.98
137630;42;4.98
137640;42;4.98
137650;42;4.98
137660;42;4.98
137670;42;4.98
137680;42;4.98
137690;42;4.98
137700;42;4.98
137710;42;4.98
137720;42;4.98
137730;42;4.98
137740;42;4.98
